Category,Topic,Keywords,State,Immediate_Action,Legal_Steps,Evidence_Needed,Judiciary_View,Rural_Tip,Helpline,Age_Advice_Teen,Age_Advice_Adult,Age_Advice_Senior
Legal,Domestic Violence,"beat, hit, husband, slap, torture, abuse",All,Move to safe room. Call 181.,1. File DIR. 2. Get Protection Order. 3. FIR u/s 498A.,"Medical Report, Photos, Diary.",Right to residence in shared household.,Contact ASHA/Anganwadi.,181,Tell trusted adult.,Secure finances. Get legal advice.,Claim maintenance under Senior Citizens Act.
Legal,Rape,"rape, force, sexual, touch, molest",All,Get to safety. DO NOT bathe.,1. Zero FIR. 2. Statement u/s 164 CrPC.,"Unwashed clothes, Medical Report.",Two-finger test is banned.,Go to PHC. Police must come to you.,112,Call Childline 1098.,Seek witness protection.,N/A
Legal,Cyber Stalking,"online, internet, photo, leak, viral",All,Screenshot everything. Do not delete.,1. Report at cybercrime.gov.in. 2. Cyber Cell FIR.,"Screenshots, URL, Chat logs.",Virtual stalking is a crime (Sec 354D).,Any Police Station must take complaint.,1930,Block user. Lock profile.,Inform employer if work-related.,Ask kids to secure phone.
Legal,Dowry,"dowry, dahej, money demand",All,Secure Stridhan. Record demands.,1. Dowry Prohibition Officer. 2. FIR u/s 498A.,"Wedding photos, Bank transfers.",Demand at any time is a crime.,Keep jewelry in your own locker.,181,N/A,Don't pay. It never stops.,N/A
Legal,Arrest Rights,"police, arrest, night, station",All,Refuse if between 6PM-6AM.,1. Need Magistrate permission for night arrest.,"Badge number, Time.",No woman arrested at night usually.,Inform Sarpanch.,112,Call parents.,Demand warrant.,Call family.
Legal,Divorce,"divorce, separate, husband",All,Secure financial docs.,1. Family Court. 2. Interim Maintenance.,"Marriage Cert, Income Proof.",Maintenance is a right.,Panchayat divorce not always valid.,181,N/A,Prepare financially.,N/A
Legal,Property,"property, share, land, will, father",All,Get property deed copy.,1. Partition Suit. 2. Mutation.,"Family Tree, Deed.",Daughters = Sons in property.,Contact Tehsildar.,15100,N/A,Don't sign NOC without reading.,Check will inclusion.
Health,Periods,"period, bleed, cramp, stomach",All,"Heat pad, rest.",N/A,N/A,N/A,Ask ASHA for Suvidha pads.,104,Natural. Talk to mom.,Track cycle. Check PCOS.,Bleeding after menopause is risky.
Health,PCOS/PCOD,"pcos, pcod, weight gain, acne",All,"Lifestyle change, exercise.",N/A,Blood test (Hormone).,N/A,Eat millets (Bajra).,104,Don't body shame yourself.,Check fertility impact.,Monitor diabetes.
Health,UTI,"urine, burn, pee, pain",All,Drink water. Don't hold urine.,N/A,Urine Culture Test.,N/A,Drink barley water.,104,Wipe front to back.,Pee after intimacy.,Check blood sugar.
Health,Pregnancy,"pregnant, baby, vomit",All,"Folic Acid, Iron food.",N/A,Ultrasound.,N/A,Janani Suraksha Yojana.,102,High risk. See doctor.,Register antenatal care.,High risk monitoring.
Health,Mental Health,"sad, depressed, suicide",All,Breathe. Call friend.,N/A,N/A,N/A,Treatable like fever.,14416,Exam stress? Call 14416.,Seek therapy.,Join community group.
Safety,Travel Alone,"travel, bus, train, cab",All,Share Live Location.,N/A,N/A,N/A,Travel in day.,112,Stick to crowds.,Trust gut. Leave if unsafe.,Carry ID/Meds.
Safety,Alone Home,"alone, scared, door",All,Lock doors. Phone charged.,N/A,N/A,N/A,Keep stick/whistle near door.,100,Don't open for strangers.,Install peephole.,Emergency speed dial.
Safety,Gas Leak,"gas, leak, smell, cylinder",All,NO SWITCHES (Sparks). Open windows.,N/A,N/A,N/A,Move cylinder out.,101,Evacuate.,Turn off regulator.,Get out.
Safety,Car Breakdown,"car, break, puncture",All,Stay inside. Lock doors.,N/A,N/A,N/A,Wave only police/families.,112,Call parents.,Call RSA.,Call Police.
Finance,Bank Account,"bank, account, money, save",All,Go to bank with Aadhaar.,N/A,"Aadhaar, 2 Photos.",N/A,Bank Mitra.,18001801111,Minor account.,PM Jan Dhan (Zero Bal).,Add nominee.
Finance,Loan,"loan, business, money",All,Write business plan.,N/A,"ID, Project Report.",N/A,Join SHG (Self Help Group).,18001801111,Start small.,Mudra Loan.,Hobby to business.
Legal,Safety,"police, help",Delhi,Use Himmat Plus App.,N/A,N/A,N/A,N/A,181,Use Metro Women Coach.,Keep pepper spray.,N/A
Legal,Safety,"police, help",Uttar Pradesh,Use 1090 WPL.,N/A,N/A,N/A,Mission Shakti Desk.,1090,Pink Booths.,Anti-Romeo Squad.,N/A
Legal,Safety,"police, help",Kerala,Pink Police Patrol.,N/A,N/A,N/A,N/A,181,Safe state.,Use Nirbhayam App.,N/A
